"subID","block","trial","response","rt","objrewardstim","facerewardstim","scenerewardstim","trialtype","feedback","obj1stim","obj2stim","face1stim","face2stim","scene1stim","scene2stim","RewardCat","choice","HH","HL","LH","LL","NH","NL","subid","Gender","ExactAge","AgeGroup"
"MotER_500","Test","22","1","562","1","1","2","obj1face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","29","1","1797","1","1","2","face2obj2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","24","1","1120","1","1","2","obj1face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","5","1","946","1","1","2","scene2scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","19","2","1318","1","1","2","obj1scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","12","1","731","1","1","2","scene2face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","11","2","1631","1","1","2","face1scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","28","2","1837","1","1","2","obj2face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","10","1","842","1","1","2","scene2face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","25","2","901","1","1","2","face2obj1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","4","2","758","1","1","2","scene1scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","1","2","787","1","1","2","obj2obj1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","3","2","908","1","1","2","face2face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","17","1","25276","1","1","2","obj2scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","15","1","863","1","1","2","obj1scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
